ID,Community,Address,St,LP,SP,TAREA,Style, RMA ,Beds,FB,HB,E/S,Yr Built,XP,Front(M),Basement Dev,Parking,Occupancy,DOM,Cnstr,Flooring,SqFt,List Rltr
C4229463,Dover,151 DOVERCLIFFE WY SE,S,309900,312000,88.537,Bungalow, 5 ,3,1,0,No,1971,South,12.1,Unfinished,Double Garage Detached,,14,Wood Frame,Carpet Ceramic Tile,953,Ad0 Assaf
C4233302,Dover,3308 41 ST SE,S,324900,310000,101.45,Bungalow, 6 ,4,2,0,No,1970,West,16.8,Fully Finished,Double Garage Detached Insulated Heated RV Parking,Owner,63,Wood Frame,Laminate Flooring,"1,092",Wally Lavoie
C4221282,Dover,3307 DOVER RIDGE DR SE,S,325000,308800,104.423,Bungalow, 6 ,3,1,0,No,1972,Southeast,15.2,Unfinished,Double Garage Detached,Vacant,76,Wood Frame,Ceramic Tile Laminate Flooring,"1,124",Justin Havre
C4245910,Dover,2819 DOVER RIDGE DR SE,S,319900,305000,98.942,Bungalow, 6 ,4,2,1,Yes,1975,North,15.8,Fully Finished,Double Garage Detached Over Sized,Owner,30,Wood Frame,Carpet Linoleum Parquet,"1,065",Ray Blanchette
C4223172,Dover,3516 SE 33 ST SE,S,310000,302500,90.766,Bungalow, 6 ,4,2,0,No,1972,West,12.5,Partly Finished,Parking Pad Gravel,Owner,25,Wood Frame,Laminate Flooring,977,Keith Armstrong
C4257953,Dover,31 Dovercrest WY SE,A,299988,0,91.602,Bi-Level, 4 ,4,1,1,No,1972,North,12.3,Fully Finished,Single Garage Detached,Seller,0,Wood Frame,Carpet Hardwood,986,Kelly Lynn Macdonald
C4257185,Dover,115 DOVERTHORN BA SE,A,299900,0,90.116,Bi-Level, 5 ,3,2,0,No,1974,West,10.8,Fully Finished,Single Garage Detached,Seller,9,Wood Frame,Carpet Laminate Flooring Linoleum,970,Kelly Turner
C4253127,Dover,288 DOVERCLIFFE WY SE,A,299900,0,86.4,Bi-Level, 4 ,3,1,0,No,1971,West,12.3,Fully Finished,Double Garage Detached,Seller,40,Wood Frame,Carpet Linoleum,930,Dave Shulz
C4257663,Dover,2827 Dover Ridge DR SE,A,299000,0,96.619,Bi-Level, 6 ,4,2,1,Yes,1975,North,36,Partly Finished,Rear Drive Access RV Parking,Vacant,11,Wood Frame,Laminate Flooring,"1,040",Lorne Coultman
C4239146,Dover,3021 DOVER RD SE,A,299000,0,106.838,Bungalow, 5 ,3,1,0,No,1970,East,14.01,Partly Finished,Double Garage Detached Insulated Heated Over Sized Rear Drive Access,Owner,95,Wood Frame,Ceramic Tile Laminate Flooring Linoleum,"1,150",Ruben Contreras
C4258235,Dover,3474 32A AV SE,A,298900,0,84.913,Bungalow, 6 ,5,2,0,No,1971,East,12.2,Fully Finished,Double Garage Detached,Te0t,4,Wood Frame,Ceramic Tile Laminate Flooring,914,Alnoor Velji
C4244839,Dover,111 DOVERGLEN PL SE,S,294800,297200,103.029,2 Storey, 6 ,4,2,0,No,1980,Northwest,7.41,Fully Finished,Double Garage Detached,Owner,16,Wood Frame,Carpet Ceramic Tile Laminate Flooring,"1,109",Luke McLaren
C4203606,Dover,81 DOVERCLIFFE CL SE,S,303900,295000,88.908,Bi-Level, 5 ,4,2,0,No,1970,South,12.6,Fully Finished,Double Garage Detached Over Sized Parking Pad Cement or Paved Rear Drive Access RV Parking,Seller,175,Wood Frame,Ceramic Tile Hardwood Laminate Flooring,957,Derek Lien
C4245134,Dover,191 Doverthorn CL SE,S,299900,292500,105.352,Bungalow, 5 ,4,1,1,Yes,1974,East,16.08,Fully Finished,Front and Rear Drive Access Parking Pad Cement or Paved Rear Drive Access RV Parking,Seller,29,Wood Frame,Carpet Laminate Flooring Linoleum,"1,134",Ryan Gillard
C4244905,Dover,68 DOVERCROFT PL SE,S,314900,290000,93.089,Bungalow, 6 ,4,2,0,Yes,1973,South,12.18,Fully Finished,Single Garage Detached Over Sized,Vacant,48,Wood Frame,Carpet Hardwood Linoleum,"1,002",Len T Wong
C4255726,Dover,78 DOVERCLIFFE CL SE,S,299000,288000,102.937,Bungalow, 5 ,4,2,0,No,1970,North,12.19,Fully Finished Suite,No Assigned Parking,Vacant,16,Wood Frame,Carpet Laminate Flooring Non-Ceramic Tile,"1,108",Rhonda Czerniak
C4242752,Dover,3456 31A AV SE,A,285000,0,83.427,Bi-Level, 5 ,4,2,0,No,1970,East,12.2,Fully Finished Suite,Parking Pad Gravel Rear Drive Access RV Parking,Seller,57,Wood Frame,Carpet Laminate Flooring Linoleum,898,Vernon Thompson
C4229120,Dover,295 DOVER RIDGE CL SE,A,285000,0,68.005,Bi-Level, 6 ,3,2,0,No,1972,West,12.49,Fully Finished,Front and Rear Drive Access RV Parking,Seller,141,Wood Frame,Laminate Flooring Linoleum,732,Dorothea Sautter
C4240744,Dover,2819 46 ST SE,S,279500,260000,85.657,Bi-Level, 3 ,3,1,1,No,1982,Northeast,7.63,Partly Finished,Double Garage Detached,Vacant,43,Wood Frame,Ceramic Tile Hardwood Linoleum,922,Mike Leibel
C4243756,Dover,3226 DOVERTHORN RD SE,S,299900,255000,95.411,Bungalow, 5 ,3,1,0,No,1974,South,"1,706.00",Partly Finished,Double Garage Detached,Vacant,7,Wood Frame,Carpet Linoleum,"1,027",Andrew B Hanney
C4239226,Dover,28 DOVERVIEW PL SE,S,279900,243000,87.793,Bungalow, 4 ,4,2,0,No,1972,North,12.18,Fully Finished,Double Carport Single Garage Detached Tandem,Vacant,24,Wood Frame,Carpet See Remarks,945,Mel Star
C4256679,Dover,178 DOVERCLIFFE CL SE,S,250000,240000,92.253,Bungalow, 5 ,4,2,0,No,1970,South,15.23,Partly Finished,Parking Pad Gravel Rear Drive Access,Vacant,0,Wood Frame,Carpet Linoleum,993,Samantha Crick
C4243609,Dover,288 DOVER RIDGE CL SE,S,248000,240000,89.001,Bungalow, 5 ,4,2,0,Yes,1972,East,12.2,Fully Finished,Rear Drive Access,Vacant,2,Wood Frame,Carpet Hardwood Non-Ceramic Tile,958,Timothy Green
C4258356,Dover,3420 dover ridge DR SE,A,239900,0,66.24,Bi-Level, 5 ,2,1,0,No,1972,South,11.5,Partly Finished,Single Garage Detached,Te0t,3,Wood Frame,Hardwood Linoleum,713,Daniel Farrar
C4253008,Dover,3612 DOVER RIDGE DR SE,S,249900,238000,58.901,Bi-Level, 3 ,3,1,0,No,1972,South,12.2,Fully Finished,Double Garage Detached,Owner,27,Wood Frame,Ceramic Tile Laminate Flooring,634,Sergey Korostensky
C4235260,Dover,4 DOVERTHORN PL SE,S,239900,229000,58.064,Bi-Level, 3 ,3,1,0,No,1972,West,12.5,Fully Finished,No Assigned Parking,Vacant,25,Wood Frame,Carpet Hardwood Linoleum,625,Teri-Ann Begin
C4228589,Dover,291 DOVER RIDGE CL SE,S,219000,206500,83.984,Bi-Level, 4 ,3,1,0,No,1972,West,12.49,Fully Finished,Parking Pad Cement or Paved,Vacant,47,Wood Frame,Carpet Linoleum,904,Michael Angelo Enciso
